bin_no	time
0	0.015
1	0.07494006
2	0.13488012
3	0.19482018
4	0.25476024
5	0.3147003
6	0.37464036
7	0.43458042
8	0.49452048
9	0.554460539
10	0.614400599
11	0.674340659
12	0.734280719
13	0.794220779
14	0.854160839
15	0.914100899
16	0.974040959
17	1.033981019
18	1.093921079
19	1.153861139
20	1.213801199
21	1.273741259
22	1.333681319
23	1.393621379
24	1.453561439
25	1.513501499
26	1.573441558
27	1.633381618
28	1.693321678
29	1.753261738
30	1.813201798
31	1.873141858
32	1.933081918
33	1.993021978
34	2.052962038
35	2.112902098
36	2.172842158
37	2.232782218
38	2.292722278
39	2.352662338
40	2.412602398
41	2.472542458
42	2.532482517
43	2.592422577
44	2.652362637
45	2.712302697
46	2.772242757
47	2.832182817
48	2.892122877
49	2.952062937
50	3.012002997
51	3.071943057
52	3.131883117
53	3.191823177
54	3.251763237
55	3.311703297
56	3.371643357
57	3.431583417
58	3.491523477
59	3.551463536
60	3.611403596
61	3.671343656
62	3.731283716
63	3.791223776
64	3.851163836
65	3.911103896
66	3.971043956
67	4.030984016
68	4.090924076
69	4.150864136
70	4.210804196
71	4.270744256
72	4.330684316
73	4.390624376
74	4.450564436
75	4.510504496
76	4.570444555
77	4.630384615
78	4.690324675
79	4.750264735
80	4.810204795
81	4.870144855
82	4.930084915
83	4.990024975
84	5.049965035
85	5.109905095
86	5.169845155
87	5.229785215
88	5.289725275
89	5.349665335
90	5.409605395
91	5.469545455
92	5.529485514
93	5.589425574
94	5.649365634
95	5.709305694
96	5.769245754
97	5.829185814
98	5.889125874
99	5.949065934
100	6.009005994
101	6.068946054
102	6.128886114
103	6.188826174
104	6.248766234
105	6.308706294
106	6.368646354
107	6.428586414
108	6.488526474
109	6.548466533
110	6.608406593
111	6.668346653
112	6.728286713
113	6.788226773
114	6.848166833
115	6.908106893
116	6.968046953
117	7.027987013
118	7.087927073
119	7.147867133
120	7.207807193
121	7.267747253
122	7.327687313
123	7.387627373
124	7.447567433
125	7.507507493
126	7.567447552
127	7.627387612
128	7.687327672
129	7.747267732
130	7.807207792
131	7.867147852
132	7.927087912
133	7.987027972
134	8.046968032
135	8.106908092
136	8.166848152
137	8.226788212
138	8.286728272
139	8.346668332
140	8.406608392
141	8.466548452
142	8.526488511
143	8.586428571
144	8.646368631
145	8.706308691
146	8.766248751
147	8.826188811
148	8.886128871
149	8.946068931
150	9.006008991
151	9.065949051
152	9.125889111
153	9.185829171
154	9.245769231
155	9.305709291
156	9.365649351
157	9.425589411
158	9.485529471
159	9.54546953
160	9.60540959
161	9.66534965
162	9.72528971
163	9.78522977
164	9.84516983
165	9.90510989
166	9.96504995
167	10.02499001
168	10.08493007
169	10.14487013
170	10.20481019
171	10.26475025
172	10.32469031
173	10.38463037
174	10.44457043
175	10.50451049
176	10.56445055
177	10.62439061
178	10.68433067
179	10.74427073
180	10.80421079
181	10.86415085
182	10.92409091
183	10.98403097
184	11.04397103
185	11.10391109
186	11.16385115
187	11.22379121
188	11.28373127
189	11.34367133
190	11.40361139
191	11.46355145
192	11.52349151
193	11.58343157
194	11.64337163
195	11.70331169
196	11.76325175
197	11.82319181
198	11.88313187
199	11.94307193
200	12.00301199
201	12.06295205
202	12.12289211
203	12.18283217
204	12.24277223
205	12.30271229
206	12.36265235
207	12.42259241
208	12.48253247
209	12.54247253
210	12.60241259
211	12.66235265
212	12.72229271
213	12.78223277
214	12.84217283
215	12.90211289
216	12.96205295
217	13.02199301
218	13.08193307
219	13.14187313
220	13.20181319
221	13.26175325
222	13.32169331
223	13.38163337
224	13.44157343
225	13.50151349
226	13.56145355
227	13.62139361
228	13.68133367
229	13.74127373
230	13.80121379
231	13.86115385
232	13.92109391
233	13.98103397
234	14.04097403
235	14.10091409
236	14.16085415
237	14.22079421
238	14.28073427
239	14.34067433
240	14.40061439
241	14.46055445
242	14.52049451
243	14.58043457
244	14.64037463
245	14.70031469
246	14.76025475
247	14.82019481
248	14.88013487
249	14.94007493
250	15.00001499
251	15.05995504
252	15.1198951
253	15.17983516
254	15.23977522
255	15.29971528
256	15.35965534
257	15.4195954
258	15.47953546
259	15.53947552
260	15.59941558
261	15.65935564
262	15.7192957
263	15.77923576
264	15.83917582
265	15.89911588
266	15.95905594
267	16.018996
268	16.07893606
269	16.13887612
270	16.19881618
271	16.25875624
272	16.3186963
273	16.37863636
274	16.43857642
275	16.49851648
276	16.55845654
277	16.6183966
278	16.67833666
279	16.73827672
280	16.79821678
281	16.85815684
282	16.9180969
283	16.97803696
284	17.03797702
285	17.09791708
286	17.15785714
287	17.2177972
288	17.27773726
289	17.33767732
290	17.39761738
291	17.45755744
292	17.5174975
293	17.57743756
294	17.63737762
295	17.69731768
296	17.75725774
297	17.8171978
298	17.87713786
299	17.93707792
300	17.99701798
301	18.05695804
302	18.1168981
303	18.17683816
304	18.23677822
305	18.29671828
306	18.35665834
307	18.4165984
308	18.47653846
309	18.53647852
310	18.59641858
311	18.65635864
312	18.7162987
313	18.77623876
314	18.83617882
315	18.89611888
316	18.95605894
317	19.015999
318	19.07593906
319	19.13587912
320	19.19581918
321	19.25575924
322	19.3156993
323	19.37563936
324	19.43557942
325	19.49551948
326	19.55545954
327	19.6153996
328	19.67533966
329	19.73527972
330	19.79521978
331	19.85515984
332	19.9150999
333	19.97503996
334	20.03498002
335	20.09492008
336	20.15486014
337	20.2148002
338	20.27474026
339	20.33468032
340	20.39462038
341	20.45456044
342	20.5145005
343	20.57444056
344	20.63438062
345	20.69432068
346	20.75426074
347	20.8142008
348	20.87414086
349	20.93408092
350	20.99402098
351	21.05396104
352	21.1139011
353	21.17384116
354	21.23378122
355	21.29372128
356	21.35366134
357	21.4136014
358	21.47354146
359	21.53348152
360	21.59342158
361	21.65336164
362	21.7133017
363	21.77324176
364	21.83318182
365	21.89312188
366	21.95306194
367	22.013002
368	22.07294206
369	22.13288212
370	22.19282218
371	22.25276224
372	22.3127023
373	22.37264236
374	22.43258242
375	22.49252248
376	22.55246254
377	22.6124026
378	22.67234266
379	22.73228272
380	22.79222278
381	22.85216284
382	22.9121029
383	22.97204296
384	23.03198302
385	23.09192308
386	23.15186314
387	23.2118032
388	23.27174326
389	23.33168332
390	23.39162338
391	23.45156344
392	23.5115035
393	23.57144356
394	23.63138362
395	23.69132368
396	23.75126374
397	23.8112038
398	23.87114386
399	23.93108392
400	23.99102398
401	24.05096404
402	24.1109041
403	24.17084416
404	24.23078422
405	24.29072428
406	24.35066434
407	24.4106044
408	24.47054446
409	24.53048452
410	24.59042458
411	24.65036464
412	24.7103047
413	24.77024476
414	24.83018482
415	24.89012488
416	24.95006494
417	25.010005
418	25.06994505
419	25.12988511
420	25.18982517
421	25.24976523
422	25.30970529
423	25.36964535
424	25.42958541
425	25.48952547
426	25.54946553
427	25.60940559
428	25.66934565
429	25.72928571
430	25.78922577
431	25.84916583
432	25.90910589
433	25.96904595
434	26.02898601
